Time,air_temp_set_1,air_temp_set_2,altimeter_set_1d,date_time,dew_point_temperature_set_1d,precip_accum_fifteen_minute_set_1,pressure_set_1,relative_humidity_set_1,sea_level_pressure_set_1d,solar_radiation_set_1,volt_set_1,wind_cardinal_direction_set_1d,wind_direction_set_1,wind_gust_set_1,wind_speed_set_1
09/17/17 05:00 PM,17.87,17.44,101388.47,2017-09-18T00:00:00Z,10.83,0,98176,63.62,101335.42,398.5,13.02,W,268.4,4.13,2.3
09/17/17 05:15 PM,17.98,17.61,101374.01,2017-09-18T00:15:00Z,10.73,0,98162,62.78,101319.76,354.5,13.03,WSW,243.3,3.96,1.66
09/17/17 05:30 PM,18.16,17.76,101374.01,2017-09-18T00:30:00Z,10.58,0,98162,61.46,101317.79,308.4,13.03,WSW,237.1,4.23,2.12
09/17/17 05:45 PM,18.17,17.96,101374.01,2017-09-18T00:45:00Z,11.11,0,98162,63.6,101317.67,262.5,13.03,WSW,242.7,3.89,1.53
09/17/17 06:00 PM,17.91,17.74,101374.01,2017-09-18T01:00:00Z,11.3,0,98162,65.47,101320.53,215.6,13.03,WSW,237.4,4.43,2.35
09/17/17 06:15 PM,17.68,17.46,101374.01,2017-09-18T01:15:00Z,11.54,0,98162,67.45,101323.05,169.8,13.04,WSW,238.7,3.38,2.12
09/17/17 06:30 PM,17.55,17.39,101380.2,2017-09-18T01:30:00Z,11.57,0,98168,68.16,101330.68,126,13.06,WSW,239.2,3.31,2.16
09/17/17 06:45 PM,16.99,16.95,101372.97,2017-09-18T01:45:00Z,11.66,0,98161,71.02,101329.63,81.7,13.08,SW,230.1,3.82,1.94
09/17/17 07:00 PM,16.69,16.67,101359.55,2017-09-18T02:00:00Z,11.68,0,98148,72.47,101319.53,36.53,13.09,SW,229.9,3.04,1.1
09/17/17 07:15 PM,16.74,16.77,101359.55,2017-09-18T02:15:00Z,11.82,0,98148,72.93,101318.98,10.6,13.1,S,170.4,1.94,1.09
09/17/17 07:30 PM,16.68,16.57,101346.12,2017-09-18T02:30:00Z,11.81,0,98135,73.16,101306.22,2.19,13.11,SE,136.1,2.87,1.83
09/17/17 07:45 PM,16.56,16.48,101346.12,2017-09-18T02:45:00Z,11.89,0,98135,74.09,101307.55,0.24,13.12,SE,132.5,4.33,2.42
09/17/17 08:00 PM,16.15,16.04,101331.67,2017-09-18T03:00:00Z,12.2,0,98121,77.58,101297.65,0.12,13.13,SE,139.3,4.33,2.85
09/17/17 08:15 PM,15.93,15.81,101331.67,2017-09-18T03:15:00Z,12.39,0,98121,79.68,101300.09,0.16,13.13,ESE,118.6,5.05,3.57
09/17/17 08:30 PM,15.56,15.45,101365.75,2017-09-18T03:30:00Z,12.77,0,98154,83.6,101338.28,0.2,13.14,ESE,121.5,5.46,3.51
09/17/17 08:45 PM,15.41,15.27,101369.88,2017-09-18T03:45:00Z,12.99,0,98158,85.6,101344.09,0.2,13.15,ESE,121.2,5.8,3.86
09/17/17 09:00 PM,15.31,15.2,101382.27,2017-09-18T04:00:00Z,13.05,0,98170,86.5,101357.6,0.2,13.16,SE,124.7,5.32,3.24
09/17/17 09:15 PM,15.46,15.3,101397.76,2017-09-18T04:15:00Z,13.25,0,98185,86.8,101371.4,0.2,13.16,SE,135.2,4.81,3.39
09/17/17 09:30 PM,15.5,15.33,101396.73,2017-09-18T04:30:00Z,13.31,0,98184,86.9,101369.92,0.2,13.16,SE,127.2,5.56,3.24
09/17/17 09:45 PM,15.31,15.17,101383.3,2017-09-18T04:45:00Z,13.17,0,98171,87.2,101358.63,0.2,13.16,ESE,119,5.7,3.66
09/17/17 10:00 PM,15.2,15.04,101384.33,2017-09-18T05:00:00Z,13.15,0,98172,87.7,101360.89,0.2,13.16,ESE,112.1,5.77,3.23
09/17/17 10:15 PM,15.1,14.99,101386.4,2017-09-18T05:15:00Z,13,0,98174,87.4,101364.08,0.2,13.17,ESE,112.1,6.04,3.9
09/17/17 10:30 PM,15.03,14.86,101400.86,2017-09-18T05:30:00Z,12.97,0,98188,87.6,101379.32,0.2,13.17,ESE,105.5,6,4.29
09/17/17 10:45 PM,14.97,14.88,101387.43,2017-09-18T05:45:00Z,12.89,0,98175,87.5,101366.57,0.2,13.18,ESE,108,5.26,3.69
09/17/17 11:00 PM,14.92,14.88,101387.43,2017-09-18T06:00:00Z,12.9,0,98175,87.8,101367.13,0.2,13.18,ESE,107.9,5.97,3.97
09/17/17 11:15 PM,14.98,14.91,101387.43,2017-09-18T06:15:00Z,12.96,0,98175,87.8,101366.46,0.2,13.18,ESE,114.9,5.39,3.31
09/17/17 11:30 PM,14.94,14.84,101400.86,2017-09-18T06:30:00Z,13.14,0,98188,89.1,101380.33,0.2,13.18,ESE,123.5,5.73,3.85
09/17/17 11:45 PM,15.04,14.87,101400.86,2017-09-18T06:45:00Z,13.33,0,98188,89.6,101379.2,0.2,13.18,ESE,118.6,6.14,3.87
09/18/17 12:00 AM,15.11,14.9,101400.86,2017-09-18T07:00:00Z,13.4,0,98188,89.6,101378.41,0.2,13.17,ESE,121.6,4.51,2.94
09/18/17 12:15 AM,15.07,14.91,101400.86,2017-09-18T07:15:00Z,13.34,0,98188,89.5,101378.86,0.2,13.17,ESE,123.4,5.43,3.15
09/18/17 12:30 AM,15,14.95,101387.43,2017-09-18T07:30:00Z,13.24,0,98175,89.3,101366.23,0.2,13.18,ESE,110.5,5.22,2.76
09/18/17 12:45 AM,14.98,15.04,101372.97,2017-09-18T07:45:00Z,13.08,0,98161,88.5,101352,0.2,13.18,ESE,110,4.47,2.87
09/18/17 01:00 AM,15.11,15.22,101359.55,2017-09-18T08:00:00Z,12.92,0,98148,86.9,101337.12,0.2,13.18,ESE,106.2,4.54,2.8
09/18/17 01:15 AM,15.34,15.39,101372.97,2017-09-18T08:15:00Z,12.9,0,98161,85.5,101347.97,0.2,13.18,ESE,111.7,3.62,2.33
09/18/17 01:30 AM,15.49,15.56,101372.97,2017-09-18T08:30:00Z,12.9,0,98161,84.7,101346.29,0.2,13.18,ESE,123,4.88,2.58
09/18/17 01:45 AM,15.57,15.67,101359.55,2017-09-18T08:45:00Z,12.85,0,98148,84,101331.98,0.2,13.18,ESE,110.8,4.43,2.82
09/18/17 02:00 AM,15.82,15.99,101358.52,2017-09-18T09:00:00Z,12.86,0,98147,82.7,101328.15,0.2,13.18,ESE,113.8,4.57,3
09/18/17 02:15 AM,15.73,15.71,101372.97,2017-09-18T09:15:00Z,13.08,0,98161,84.4,101343.61,0.2,13.17,SE,146.1,5.53,3.1
09/18/17 02:30 AM,15.28,15.21,101372.97,2017-09-18T09:30:00Z,13.53,0,98161,89.4,101348.63,0.2,13.17,SE,127.6,5.39,2.42
09/18/17 02:45 AM,15.14,15.12,101344.06,2017-09-18T09:45:00Z,13.44,0,98133,89.7,101321.29,0.2,13.18,ESE,118.9,3.82,2.33
09/18/17 03:00 AM,15.28,15.22,101345.09,2017-09-18T10:00:00Z,13.58,0,98134,89.7,101320.75,0.2,13.17,SE,128.3,3.76,2.19
09/18/17 03:15 AM,15.37,15.31,101344.06,2017-09-18T10:15:00Z,13.72,0,98133,90,101318.71,0.2,13.17,SE,142.4,3.51,1.52
09/18/17 03:30 AM,15.38,15.31,101329.6,2017-09-18T10:30:00Z,13.84,0,98119,90.6,101304.14,0.2,13.17,SSE,156.1,3.38,1.89
09/18/17 03:45 AM,15.37,15.31,101317.21,2017-09-18T10:45:00Z,13.74,0,98107,90.1,101291.87,0.2,13.17,SE,126.8,3.79,2.11
09/18/17 04:00 AM,15.4,15.32,101315.14,2017-09-18T11:00:00Z,13.75,0,98105,90,101289.47,0.2,13.17,ESE,121.2,3.79,2.43
09/18/17 04:15 AM,15.45,15.38,101317.21,2017-09-18T11:15:00Z,13.82,0,98107,90.1,101290.97,0.2,13.17,SE,125.3,2.76,1.71
09/18/17 04:30 AM,15.76,15.72,101329.6,2017-09-18T11:30:00Z,13.9,0,98119,88.8,101299.9,0.2,13.16,SE,133.4,2.53,0.99
09/18/17 04:45 AM,15.66,15.64,101340.96,2017-09-18T11:45:00Z,13.96,0,98130,89.7,101312.37,0.2,13.16,S,172.7,2.53,1.19
09/18/17 05:00 AM,15.45,15.43,101354.39,2017-09-18T12:00:00Z,14.03,0,98143,91.3,101328.14,0.2,13.16,SW,215.2,3.89,1.32
09/18/17 05:15 AM,15.47,15.43,101370.91,2017-09-18T12:15:00Z,14.2,0,98159,92.2,101344.43,0.2,13.16,SSW,195.6,3.76,1.51
09/18/17 05:30 AM,15.46,15.42,101356.45,2017-09-18T12:30:00Z,14.34,0,98145,93.1,101330.08,0.2,13.16,S,179.5,2.39,0.75
09/18/17 05:45 AM,15.52,15.45,101356.45,2017-09-18T12:45:00Z,14.43,0,98145,93.3,101329.41,0.2,13.16,SSE,146.7,2.42,1.2
09/18/17 06:00 AM,15.56,15.49,101355.42,2017-09-18T13:00:00Z,14.42,0,98144,93,101327.93,0.2,13.16,SSE,159.8,2.56,1.29
09/18/17 06:15 AM,15.62,15.56,101367.81,2017-09-18T13:15:00Z,14.35,0,98156,92.2,101339.65,0.2,13.16,SE,135.8,2.97,1.11
09/18/17 06:30 AM,15.71,15.67,101383.3,2017-09-18T13:30:00Z,14.33,0,98171,91.6,101354.13,0.2,13.16,S,190.4,1.77,0.93
09/18/17 06:45 AM,15.73,15.71,101397.76,2017-09-18T13:45:00Z,14.39,0,98185,91.8,101368.36,0.32,13.16,SSW,213.3,2.15,0.96
09/18/17 07:00 AM,15.57,15.55,101426.68,2017-09-18T14:00:00Z,14.48,0,98213,93.3,101399.06,0.91,13.16,SW,224.8,3.55,1.72
09/18/17 07:15 AM,15.59,15.56,101438.04,2017-09-18T14:15:00Z,14.64,0,98224,94.1,101410.19,3.91,13.16,SSW,203.8,2.83,1.61
09/18/17 07:30 AM,15.61,15.59,101451.46,2017-09-18T14:30:00Z,14.69,0,98237,94.3,101423.39,6.14,13.16,WSW,250.8,3.62,1.73
09/18/17 07:45 AM,15.39,15.42,101454.56,2017-09-18T14:45:00Z,14.5,0,98240,94.5,101428.95,17.07,13.16,SW,221.2,3.76,1.63
09/18/17 08:00 AM,15.48,15.51,101452.49,2017-09-18T15:00:00Z,14.64,0,98238,94.8,101425.87,25.28,13.16,S,179.4,4.03,1.63
09/18/17 08:15 AM,15.53,15.56,101467.99,2017-09-18T15:15:00Z,14.72,0,98253,95,101440.8,31.55,13.16,S,189.6,4.09,1.42
09/18/17 08:30 AM,15.55,15.57,101479.35,2017-09-18T15:30:00Z,14.76,0,98264,95.1,101451.93,39.09,13.15,SSW,211.6,3.48,1.54
09/18/17 08:45 AM,15.58,15.59,101452.49,2017-09-18T15:45:00Z,14.81,0,98238,95.2,101424.75,51.76,13.15,S,189,3.79,1.8
09/18/17 09:00 AM,15.57,15.59,101438.04,2017-09-18T16:00:00Z,14.8,0,98224,95.2,101410.41,40.96,13.15,S,175.2,3.45,1.37
09/18/17 09:15 AM,15.65,15.63,101464.89,2017-09-18T16:15:00Z,14.88,0,98250,95.2,101436.36,81.3,13.15,SSE,164.2,3.82,1.99
09/18/17 09:30 AM,15.93,15.86,101503.1,2017-09-18T16:30:00Z,15.16,0,98287,95.2,101471.42,131.8,13.15,S,169.4,3.62,1.47
09/18/17 09:45 AM,16.03,15.89,101500,2017-09-18T16:45:00Z,15.26,0,98284,95.2,101467.21,125.4,13.14,SSE,153.5,3.96,2.05
09/18/17 10:00 AM,16.16,16.01,101527.88,2017-09-18T17:00:00Z,15.37,0,98311,95.1,101493.63,163.5,13.13,SSE,161.1,3.68,1.86
09/18/17 10:15 AM,16.11,16.02,101542.34,2017-09-18T17:15:00Z,15.28,0,98325,94.9,101508.65,140,13.12,SW,213.9,2.83,1.54
09/18/17 10:30 AM,16.19,16.07,101527.88,2017-09-18T17:30:00Z,15.35,0,98311,94.8,101493.3,89.1,13.12,SSW,208.3,4.3,1.77
09/18/17 10:45 AM,15.74,15.67,101527.88,2017-09-18T17:45:00Z,14.92,0,98311,94.9,101498.33,122.8,13.13,SW,233.8,4.4,2.82
09/18/17 11:00 AM,15.76,15.73,101527.88,2017-09-18T18:00:00Z,14.95,0,98311,95,101498.1,142.2,13.13,SW,230.7,4.47,2.25
09/18/17 11:15 AM,15.88,15.82,101527.88,2017-09-18T18:15:00Z,15.07,0,98311,95,101496.76,120.6,13.13,WSW,241.7,4.61,2.73
09/18/17 11:30 AM,15.97,15.84,101555.77,2017-09-18T18:30:00Z,15.15,0,98338,94.9,101523.63,117.6,13.13,WSW,249.7,6.38,2.99
09/18/17 11:45 AM,15.78,15.66,101583.65,2017-09-18T18:45:00Z,14.91,0,98365,94.6,101553.63,126.6,13.13,WSW,252.4,6.86,3.65
09/18/17 12:00 PM,15.7,15.78,101570.22,2017-09-18T19:00:00Z,14.83,0,98352,94.6,101541.11,171.9,13.13,WSW,255,6.86,3.73
09/18/17 12:15 PM,15.64,15.78,101555.77,2017-09-18T19:15:00Z,14.75,0,98338,94.5,101527.32,232,13.13,WSW,243.4,7.81,3.71
09/18/17 12:30 PM,16.14,16.47,101583.65,2017-09-18T19:30:00Z,15.12,0,98365,93.7,101549.61,226.1,13.13,W,258.8,7.03,3.43
09/18/17 12:45 PM,15.98,16.12,101583.65,2017-09-18T19:45:00Z,14.64,0,98365,91.8,101551.4,233,13.12,W,261,7.61,3.53
09/18/17 01:00 PM,15.97,16.13,101583.65,2017-09-18T20:00:00Z,14.51,0,98365,91.1,101551.52,281,13.12,WSW,247.7,6.11,3
09/18/17 01:15 PM,16.07,16.14,101570.22,2017-09-18T20:15:00Z,14.47,0,98352,90.3,101536.98,285.8,13.12,WSW,247.9,4.16,2.22
09/18/17 01:30 PM,16.7,16.66,101555.77,2017-09-18T20:30:00Z,14.69,0,98338,88,101515.51,352.5,13.11,WSW,248,4.57,2
09/18/17 01:45 PM,17.36,16.99,101527.88,2017-09-18T20:45:00Z,14.81,0,98311,85.1,101480.33,494.7,13.1,WSW,249.7,4.81,2.61
09/18/17 02:00 PM,18.15,17.72,101527.88,2017-09-18T21:00:00Z,14.76,0,98311,80.7,101471.62,696.6,13.08,WSW,248.3,5.26,2.66
09/18/17 02:15 PM,18.12,17.63,101500,2017-09-18T21:15:00Z,14.53,0,98284,79.7,101444.09,671.4,13.07,WSW,244,6.28,3.59
09/18/17 02:30 PM,18.78,18.35,101480.38,2017-09-18T21:30:00Z,14.38,0,98265,75.73,101417.25,662.9,13.06,WSW,242.7,6.31,3.58
09/18/17 02:45 PM,18.81,18.28,101475.21,2017-09-18T21:45:00Z,14.24,0,98260,74.94,101411.76,667.3,13.05,WSW,245.4,5.56,3.35
09/18/17 03:00 PM,19.14,18.52,101458.69,2017-09-18T22:00:00Z,13.56,0,98244,70.23,101391.66,658.1,13.04,WSW,255,5.66,3.12
09/18/17 03:15 PM,19.24,18.63,101472.12,2017-09-18T22:15:00Z,12.96,0,98257,67.15,101403.99,579.5,13.03,W,267.7,6.11,3.18
09/18/17 03:30 PM,18.57,17.96,101458.69,2017-09-18T22:30:00Z,12.74,0,98244,69,101397.9,553,13.03,WSW,250.6,5.39,2.99
09/18/17 03:45 PM,18.87,18.37,101444.23,2017-09-18T22:45:00Z,12.85,0,98230,68.23,101380.17,541.6,13.03,SW,234.8,6.25,3.15
09/18/17 04:00 PM,18.34,17.96,101444.23,2017-09-18T23:00:00Z,13.04,0,98230,71.41,101385.96,536.7,13.03,WSW,242.3,5.77,3.17
09/18/17 04:15 PM,19.19,18.88,101416.35,2017-09-18T23:15:00Z,13.16,0,98203,68.25,101348.8,545.3,13.03,WSW,255.8,4.74,2.11
09/18/17 04:30 PM,19.08,18.67,101430.81,2017-09-18T23:30:00Z,13.03,0,98217,68.11,101364.45,380.5,13.02,WSW,257.1,7.2,3.53
09/18/17 04:45 PM,18.56,18.18,101402.92,2017-09-18T23:45:00Z,13.12,0,98190,70.78,101342.27,338.6,13.03,W,261.5,7.95,3.94
09/18/17 05:00 PM,18.63,18.32,101374.01,2017-09-19T00:00:00Z,12.62,0,98162,68.24,101312.61,282.2,13.04,WSW,252.9,7.03,3.81
09/18/17 05:15 PM,17.91,17.63,101380.2,2017-09-19T00:15:00Z,11.57,0,98168,66.61,101326.71,237.9,13.05,W,260.6,7.71,3.9
09/18/17 05:30 PM,17.88,17.57,101382.27,2017-09-19T00:30:00Z,11.1,0,98170,64.72,101329.12,243.1,13.06,WSW,250.5,8.15,3.87
09/18/17 05:45 PM,17.03,16.81,101386.4,2017-09-19T00:45:00Z,11.35,0,98174,69.43,101342.61,160.9,13.07,WSW,247.9,8.98,4.48
09/18/17 06:00 PM,16.55,16.32,101374.01,2017-09-19T01:00:00Z,11.62,0,98162,72.85,101335.54,150.7,13.09,WSW,247.4,7.61,3.67
09/18/17 06:15 PM,16.39,16.23,101387.43,2017-09-19T01:15:00Z,11.93,0,98175,75.06,101350.73,124.7,13.1,WSW,255.4,7,3.12
09/18/17 06:30 PM,16.42,16.3,101374.01,2017-09-19T01:30:00Z,11.93,0,98162,74.92,101336.98,76.25,13.11,W,268.7,6.42,3.34
09/18/17 06:45 PM,16.26,16.21,101401.89,2017-09-19T01:45:00Z,10.99,0,98189,71.17,101366.64,43.99,13.12,W,273.3,8.09,4.15
09/18/17 07:00 PM,15.97,15.94,101387.43,2017-09-19T02:00:00Z,9.78,0,98175,66.93,101355.44,21.16,13.13,W,278.1,9.63,4.9
09/18/17 07:15 PM,15.46,15.42,101388.47,2017-09-19T02:15:00Z,10.69,0,98176,73.44,101362.15,7.03,13.14,W,275.2,8.5,4.22
09/18/17 07:30 PM,15.37,15.37,101382.27,2017-09-19T02:30:00Z,9.14,0,98170,66.63,101356.98,1.2,13.15,WNW,285.1,8.53,5.41
09/18/17 07:45 PM,15.22,15.21,101397.76,2017-09-19T02:45:00Z,8.54,0,98185,64.61,101374.16,0.18,13.16,WNW,287.5,8.74,5.58
09/18/17 08:00 PM,15.21,15.2,101400.86,2017-09-19T03:00:00Z,8.76,0,98188,65.61,101377.36,0.09,13.16,WNW,286.7,9.32,5.51
09/18/17 08:15 PM,15.16,15.16,101415.32,2017-09-19T03:15:00Z,9.04,0,98202,67.08,101392.37,0.07,13.17,WNW,281.7,6.75,4
09/18/17 08:30 PM,15.06,15.05,101428.74,2017-09-19T03:30:00Z,8.8,0,98215,66.44,101406.92,0.08,13.17,WNW,285.9,7.85,3.94
09/18/17 08:45 PM,14.93,14.92,101428.74,2017-09-19T03:45:00Z,9.13,0,98215,68.48,101408.38,0.07,13.18,WNW,287.5,7.85,5.22
09/18/17 09:00 PM,14.78,14.79,101400.86,2017-09-19T04:00:00Z,9.51,0,98188,70.93,101382.18,0.07,13.18,W,279,6.93,4.62
09/18/17 09:15 PM,14.72,14.73,101428.74,2017-09-19T04:15:00Z,9.5,0,98215,71.16,101410.73,0.07,13.18,WNW,282.7,7.85,5.12
09/18/17 09:30 PM,14.69,14.73,101415.32,2017-09-19T04:30:00Z,9.43,0,98202,70.92,101397.65,0.07,13.18,W,281.1,6.79,3.69
09/18/17 09:45 PM,14.54,14.57,101428.74,2017-09-19T04:45:00Z,9.59,0,98215,72.41,101412.75,0.08,13.19,WNW,284,7.64,4.58
09/18/17 10:00 PM,14.56,14.59,101428.74,2017-09-19T05:00:00Z,9.51,0,98215,71.93,101412.53,0.06,13.19,WNW,286.6,8.4,4.64
09/18/17 10:15 PM,14.54,14.59,101457.66,2017-09-19T05:15:00Z,9.37,0,98243,71.36,101441.67,0.07,13.19,WNW,286.1,7.1,4.26
09/18/17 10:30 PM,14.72,14.77,101471.08,2017-09-19T05:30:00Z,8.43,0,98256,66.24,101453.08,0.04,13.19,WNW,284.9,8.87,5.22
09/18/17 10:45 PM,14.57,14.62,101485.54,2017-09-19T05:45:00Z,8.4,0,98270,66.71,101469.22,0.07,13.19,WNW,287.3,6.89,3.03
09/18/17 11:00 PM,14.47,14.51,101471.08,2017-09-19T06:00:00Z,8.4,0,98256,67.14,101455.89,0.08,13.19,W,275.4,4.81,2.3
09/18/17 11:15 PM,14.25,14.29,101471.08,2017-09-19T06:15:00Z,8.28,0,98256,67.58,101458.38,0.1,13.2,WNW,283,6.58,4.15
09/18/17 11:30 PM,14.04,14.08,101498.97,2017-09-19T06:30:00Z,8.17,0,98283,67.97,101488.63,0.08,13.2,WNW,289.8,5.83,3.02
09/18/17 11:45 PM,13.79,13.85,101498.97,2017-09-19T06:45:00Z,8.18,0,98283,69.15,101491.46,0.08,13.21,WNW,293.9,6.31,3.39
09/19/17 12:00 AM,13.74,13.78,101513.43,2017-09-19T07:00:00Z,8.44,0,98297,70.56,101506.48,0.05,13.21,WNW,287.7,6.28,3.69
09/19/17 12:15 AM,13.63,13.67,101513.43,2017-09-19T07:15:00Z,8.6,0,98297,71.84,101507.73,0.03,13.21,WNW,296.8,4.54,2.65
09/19/17 12:30 AM,13.53,13.61,101513.43,2017-09-19T07:30:00Z,8.65,0,98297,72.58,101508.86,0.02,13.22,NW,321.7,3.07,1.17
09/19/17 12:45 AM,13.43,13.62,101513.43,2017-09-19T07:45:00Z,8.29,0,98297,71.3,101510,0.03,13.22,N,354.4,1.81,0.57
09/19/17 01:00 AM,13.92,14.12,101513.43,2017-09-19T08:00:00Z,7.55,0,98297,65.72,101504.45,0.03,13.22,NNW,332.9,3.17,1.19
09/19/17 01:15 AM,13.89,14.13,101513.43,2017-09-19T08:15:00Z,7.03,0,98297,63.55,101504.8,0.02,13.22,N,350.1,3.04,1.61
09/19/17 01:30 AM,13.83,14.03,101513.43,2017-09-19T08:30:00Z,7.14,0,98297,64.26,101505.48,0.05,13.22,NW,325.1,2.87,1.49
09/19/17 01:45 AM,14.07,14.31,101526.85,2017-09-19T08:45:00Z,7.11,0,98310,63.14,101516.19,0.04,13.22,NW,317.2,4.13,2.32
09/19/17 02:00 AM,13.72,13.88,101541.31,2017-09-19T09:00:00Z,7.3,0,98324,65.42,101534.6,0.06,13.22,WNW,291.4,3.14,1.27
09/19/17 02:15 AM,13.42,13.55,101526.85,2017-09-19T09:15:00Z,8.2,0,98310,70.92,101523.54,0.05,13.22,WNW,297.6,2.97,1.63
09/19/17 02:30 AM,13.22,13.36,101513.43,2017-09-19T09:30:00Z,8.43,0,98297,72.97,101512.38,0.03,13.22,WSW,258.7,1.67,0.47
09/19/17 02:45 AM,13.14,13.37,101514.46,2017-09-19T09:45:00Z,8.6,0,98298,74.17,101514.33,0.04,13.23,W,279.5,1.74,0.81
09/19/17 03:00 AM,13.17,13.35,101516.52,2017-09-19T10:00:00Z,8.79,0,98300,74.99,101516.05,0.04,13.23,WNW,303.7,1.71,0.75
09/19/17 03:15 AM,12.94,13.24,101530.98,2017-09-19T10:15:00Z,8.47,0,98314,74.5,101533.13,0.02,13.23,NW,314,1.74,1.22
09/19/17 03:30 AM,12.88,13.14,101534.08,2017-09-19T10:30:00Z,8.44,0,98317,74.62,101536.91,0.02,13.24,NW,319.5,2.56,1.24
09/19/17 03:45 AM,12.92,13.05,101521.69,2017-09-19T10:45:00Z,8.7,0,98305,75.72,101524.06,0.01,13.24,NW,317.1,3.14,1.69
09/19/17 04:00 AM,12.69,12.96,101536.14,2017-09-19T11:00:00Z,8.79,0,98319,77.35,101541.14,0.01,13.24,NW,312.5,1.71,0.97
09/19/17 04:15 AM,12.69,12.91,101552.67,2017-09-19T11:15:00Z,8.8,0,98335,77.42,101557.67,0.01,13.24,NW,316.6,3.11,1.67
09/19/17 04:30 AM,12.68,12.81,101554.73,2017-09-19T11:30:00Z,8.76,0,98337,77.23,101559.85,0,13.24,NW,320.5,2.87,1.72
